Dist Code,Year,State Code,State Name,Dist Name,yield_kg_per_ha,rainfall_kharif_mm,rainfall_anomaly,tmax_kharif_mean_c,tmin_kharif_mean_c,temp_kharif_mean_c,temp_anomaly,extreme_heat_days,extreme_heat_anomaly,max_dry_spell_days,dry_spell_anomaly,rice_irrigated_area_1000ha,irrigation_share,lagged_yield,rice_area_1000ha
722,2019,8,Orissa,Malkangiri,2225.0,1546.6539,0.5581307,31.89950942993164,24.33987617492676,28.11969375610352,0.6752949308134947,23,1.6440580741874258,11,-0.3268454948296488,1.765,0.01693207981580967,1887.0,104.24
545,1992,9,Punjab,Mansa,3594.0,297.0055,0.20844185,35.130653381347656,23.005163192749023,29.067909240722656,-0.9901670719509272,56,-1.2815455595240817,51,0.6145364400496576,31.8,0.99375,,32.0
545,1993,9,Punjab,Mansa,3511.0,358.37024,0.6864147,35.63679504394531,23.40862846374512,29.52271270751953,0.0707056131897668,81,0.3592472727506859,49,0.487390969694556,47.3,1.0,3594.0,47.0
545,1994,9,Punjab,Mansa,3466.0,211.33798,-0.45882636,35.12215805053711,22.883071899414062,29.002614974975582,-1.1424722061119323,50,-1.675335839270026,48,0.4238182345170052,57.7,0.9948275862068966,3511.0,58.0
545,1995,9,Punjab,Mansa,3340.0,624.7383,2.7611678,35.64372634887695,24.042808532714844,29.8432674407959,0.8184302579039202,73,-0.1658064335772397,56,0.9324001159374116,49.8,0.996,3466.0,50.0
545,1996,9,Punjab,Mansa,3574.0,150.95589,-0.9291453,34.43634033203125,23.182222366333008,28.80928039550781,-1.5934436463585109,60,-1.0190187063601188,30,-0.7204909986789092,53.9,0.9981481481481481,3340.0,54.0
545,1997,9,Punjab,Mansa,3793.0,272.01562,0.013794608,33.98960876464844,23.383920669555664,28.68676376342773,-1.879225435500493,68,-0.4939650000321933,32,-0.5933455283238076,58.1,1.0,3574.0,58.0
545,1998,9,Punjab,Mansa,2560.0,345.3603,0.5850796,34.92738342285156,24.47163391113281,29.699508666992188,0.4830991368555606,72,-0.2314381468682304,19,-1.419791085631968,83.92,0.9990476190476191,3793.0,84.0
545,1999,9,Punjab,Mansa,3198.0,93.766525,-1.3745959,35.599021911621094,23.952287673950195,29.775653839111328,0.6607150503301412,89,0.8843009790786116,53,0.7416819104047592,91.01,1.0,2560.0,91.0
545,2000,9,Punjab,Mansa,3643.0,127.976364,-1.1081339,35.23836898803711,23.62967300415039,29.43402099609375,-0.1361763059667883,80,0.2936155594596952,35,-0.4026273227911552,83.5,0.9940476190476191,3198.0,84.0
545,2001,9,Punjab,Mansa,3559.0,212.30367,-0.4513046,35.33536148071289,23.7149658203125,29.52516365051269,0.0764226726761278,89,0.8843009790786116,79,2.39457302502108,68.26,1.0,3643.0,68.0
545,2002,9,Punjab,Mansa,3034.0,135.38397,-1.0504357,36.03241729736328,24.301109313964844,30.166763305664062,1.5730153740017168,87,0.7530375524966302,54,0.80525464558231,87.62,0.9956818181818182,3559.0,88.0
545,2003,9,Punjab,Mansa,3833.0,299.40637,0.22714241,34.956600189208984,23.57091522216797,29.26375770568848,-0.5333317527914728,48,-1.8065992658520076,32,-0.5933455283238076,78.23,1.0,3034.0,78.0
545,2004,9,Punjab,Mansa,4093.0,203.22751,-0.52199924,34.93699264526367,23.86182975769043,29.39941024780273,-0.2169091942466859,80,0.2936155594596952,36,-0.3390545876136044,75.27,1.0,3833.0,75.0
545,2005,9,Punjab,Mansa,4157.0,255.54651,-0.1144841,36.013397216796875,23.698888778686523,29.856143951416016,0.8484659533066279,92,1.0811961189515835,37,-0.2754818524360536,70.33,1.0,4093.0,70.0
545,2006,9,Punjab,Mansa,4177.0,273.60696,0.026189622,35.23052215576172,24.179018020629883,29.704769134521484,0.495369681651986,84,0.556142412623658,26,-0.9747819393891124,62.46,1.0,4157.0,62.0
545,2007,9,Punjab,Mansa,4131.0,178.10095,-0.71771115,35.17006301879883,23.572940826416016,29.371501922607425,-0.2820080381412653,70,-0.3627015734502118,48,0.4238182345170052,61.1,1.0,4177.0,61.0
545,2008,9,Punjab,Mansa,4169.0,500.82422,1.7959954,35.04719161987305,23.75777816772461,29.402484893798828,-0.209737287715917,87,0.7530375524966302,17,-1.5469365559870696,70.78,0.9969014084507043,4131.0,71.0
545,2009,9,Punjab,Mansa,4208.0,220.06723,-0.39083385,36.66751480102539,24.108169555664062,30.387842178344727,2.08870303781929,105,1.934408391734463,28,-0.8476364690340108,77.05,1.0,4169.0,77.0
545,2010,9,Punjab,Mansa,4051.0,324.2376,0.42055407,35.23287582397461,23.63921356201172,29.436044692993164,-0.1314558389511947,64,-0.7564918531961561,38,-0.2119091172585028,77.9,0.9987179487179488,4208.0,78.0
